Product Name,Product ID,Prod ID Code,Category Level 2,Price,Product Description,Store IDs
Audio Technica ATH-CKF303 In-Ear Headphone (White),,AUTECH,Audio,,"3.5 millimeter gold plated L-shaped stereo mini plugFrequency response of 20-20,000 hertzOutput sound of 100 decibels per megawattsMaximum input power of 40 megawattsImpedance of 16 ohms",BIZID025
Audio Technica ATH-CKM 300is In-Ear Headphone with Mic (Black),,AUTECH,Audio,,"3.5 millimeter gold plated 4 pin L-shaped stereo mini plugFrequency response of 5-24,000 hertzOutput sound of 104 decibels per megawattsMaximum input power of 200 megawattsImpedance of 16 ohms",BIZID026
Audio Technica ATH-CKM 300is In-Ear Headphone with Mic (White),,AUTECH,Audio,,"3.5 millimeter gold plated 4 pin L-shaped stereo mini plugFrequency response of 5-24,000 hertzOutput sound of 104 decibels per megawattsMaximum input power of 200 megawattsImpedance of 16 ohms",BIZID005
Audio Technica ATH-CKS55 In-Ear Headphone (Black/Red),,AUTECH,Audio,,"3.5 millimeter gold plated 4 pin L-shaped stereo mini plugFrequency response of 5-24,000 hertzOutput sound of 105 decibels per megawattsMaximum input power of 100 megawattsImpedance of 16 ohms",BIZID006
Audio Technica ATH-CKS55 In-Ear Headphone (White),,AUTECH,Audio,,"3.5 millimeter gold plated 4 pin L-shaped stereo mini plugFrequency response of 5-24,000 hertzOutput sound of 105 decibels per megawattsMaximum input power of 100 megawattsImpedance of 16 ohms",BIZID007
Audio Technica ATH-FC 707 On-Ear Headphone (Black),,AUTECH,Audio,,"3.5 millimeter gold plated L-shaped stereo mini plugFrequency response of 10-24,000 hertzOutput sound of 102 decibels per megawattsMaximum input power of 500 megawattsImpedance of 42 ohms",BIZID001
Audio Technica ATH-FC 707 On-Ear Headphone (White),,AUTECH,Audio,,"3.5 millimeter gold plated L-shaped stereo mini plugFrequency response of 10-24,000 hertzOutput sound of 102 decibels per megawattsMaximum input power of 500 megawattsImpedance of 42 ohms",BIZID002
Audio Technica ATH-M20 Over-Ear Headphone (Black),,AUTECH,Audio,,"3.5 millimeter gold plated L-shaped stereo mini plugFrequency response of 30-20,000 hertzOutput sound of 98 decibels per megawattsMaximum input power of 1200 megawattsImpedance of 40 ohms",BIZID003
Audio Technica ATH-M50 Over-Ear Headphone (Black),,AUTECH,Audio,,Exceptional audio quality for professional monitoring and mixingCollapsible design ideal for easy portability and convenient storageProprietary 45 mm large-aperture drivers with neodymium magnet systemsClosed-back cushioned earcup design creates an outstanding seal for maximum isolationAdjustable padded headband for comfort during long mixing/recording sessionsSingle-sided coiled cable terminates to gold-plated mini-plug with screw-on 1/4-inch adapter,BIZID004
Audio Technica ATH-T200 On-Ear Headphone (Black),,AUTECH,Audio,,"3.5 millimeter gold plated L-shaped stereo mini plugFrequency response of 20-20,000 hertzOutput sound of 100 decibels per megawattsMaximum input power of 500 megawattsImpedance of 40 ohms",BIZID005
Audio Technica ATH-T500 Over-Ear Headphone (Black),,AUTECH,Audio,,"3.5 millimeter gold plated L-shaped stereo mini plugFrequency response of 20-25,000 hertzOutput sound of 106 decibels per megawattsMaximum input power of 1800 megawattsImpedance of 40 ohms",BIZID006
