Word,Keyword,CategoryL1
frosting,Generic,ID
curtains,Specific,ID
valances,Generic,ID
arrangements,Generic,ID
sheets,Generic,ID
bulb,Specific,Lighting
LED,Generic,Lighting
CFL,Specific,Lighting
tubelight,Specific,Lighting
watt,Generic,Lighting
battery,Generic,Lighting
lantern,specific,Lighting
lamp,specific,Lighting
torch,specific,Lighting
light,specific,Lighting
vince,specific,ID
vince,specific,Bed
vince,specific,Bathroom
